DictionaryName,Code,Name,Domain,,
CPT,0001F,"Heart failure assessed (includes assessment of all the following components) (CAD, HF): Blood pressure measured (2000F) Level of activity assessed (1003F) Clinical symptoms of volume overload (excess) assessed (1004F) Weight, recorded (2001F) Clinical signs of volume overload (excess) assessed (2002F)",CARE,,
CPT,0005F,"Osteoarthritis assessed (OA) Includes assessment of all the following components: Osteoarthritis symptoms and functional status assessed (1006F) Use of anti-inflammatory or over-the-counter (OTC) analgesic medications assessed (1007F) Initial examination of the involved joint(s) (includes visual inspection, palpation, range of motion) (2004F)",CARE,,
CPT,100,"Anesthesia for procedures on salivary glands, including biopsy",CARE,,
CPT,102,Anesthesia for procedures involving plastic repair of cleft lip,CARE,,
CPT,103,"Anesthesia for reconstructive procedures of eyelid (eg, blepharoplasty, ptosis surgery)",CARE,,
CPT,104,Anesthesia for electroconvulsive therapy,CARE,,
CPT,120,"Anesthesia for procedures on external, middle, and inner ear including biopsy; not otherwise specified",CARE,,
CPT,124,"Anesthesia for procedures on external, middle, and inner ear including biopsy; otoscopy",CARE,,
CPT,126,"Anesthesia for procedures on external, middle, and inner ear including biopsy; tympanotomy",CARE,,
CPT,0012F,Community-acquired bacterial pneumonia assessment (includes all of the following components) (CAP): Co-morbid conditions assessed (1026F) Vital signs recorded (2010F) Mental status assessed (2014F) Hydration status assessed (2018F),CARE,,
CPT,140,Anesthesia for procedures on eye; not otherwise specified,CARE,,
CPT,142,Anesthesia for procedures on eye; lens surgery,CARE,,
CPT,144,Anesthesia for procedures on eye; corneal transplant,CARE,,
CPT,145,Anesthesia for procedures on eye; vitreoretinal surgery,CARE,,
CPT,147,Anesthesia for procedures on eye; iridectomy,CARE,,
CPT,148,Anesthesia for procedures on eye; ophthalmoscopy,CARE,,
CPT,0014F,"Comprehensive preoperative assessment performed for cataract surgery with intraocular lens (IOL) placement (includes assessment of all of the following components) (EC): Dilated fundus evaluation performed within 12 months prior to cataract surgery (2020F) Pre-surgical (cataract) axial length, corneal power measurement and method of intraocular lens power calculation documented (must be performed within 12 months prior to surgery) (3073F) Preoperative assessment of functional or medical indication(s) for surgery prior to the cataract surgery with intraocular lens placement (must be performed within 12 months prior to cataract surgery) (3325F)",CARE,,
CPT,0015F,Melanoma follow up completed (includes assessment of all of the following components) (ML): History obtained regarding new or changing moles (1050F)5 Complete physical skin exam performed (2029F) Patient counseled to perform a monthly self skin examination (5005F),CARE,,
CPT,160,Anesthesia for procedures on nose and accessory sinuses; not otherwise specified,CARE,,
CPT,162,Anesthesia for procedures on nose and accessory sinuses; radical surgery,CARE,,
CPT,164,"Anesthesia for procedures on nose and accessory sinuses; biopsy, soft tissue",CARE,,
CPT,0016T,"Destruction of localized lesion of choroid (eg, choroidal neovascularization), transpupillary thermotherapy",CARE,,
CPT,170,"Anesthesia for intraoral procedures, including biopsy; not otherwise specified",CARE,,
CPT,172,"Anesthesia for intraoral procedures, including biopsy; repair of cleft palate",CARE,,
CPT,174,"Anesthesia for intraoral procedures, including biopsy; excision of retropharyngeal tumor",CARE,,
CPT,176,"Anesthesia for intraoral procedures, including biopsy; radical surgery",CARE,,
CPT,0017T,"Destruction of macular drusen, photocoagulation",CARE,,
CPT,190,Anesthesia for procedures on facial bones or skull; not otherwise specified,CARE,,
CPT,192,Anesthesia for procedures on facial bones or skull; radical surgery (including prognathism),CARE,,
CPT,0019T,"Extracorporeal shock wave involving musculoskeletal system, not otherwise specified, low energy",CARE,,
CPT,210,Anesthesia for intracranial procedures; not otherwise specified,CARE,,
